,0
intercept_ln,2.3595322616061822
intercept_a,10.585998816171777
growth_rate_b,0.3730954885078892
doubling_time,1.8578278266832715
r_squared,0.5307903114044199
adj_r_squared,0.5047231064824433
n,20.0
ci_intercept_ln_lower,2.2776099942666708
ci_intercept_ln_upper,2.4414545289456937
ci_growth_lower,0.19938914672093996
ci_growth_upper,0.5468018302948384
logistic_L,13882496.685250795
logistic_k,2.808956740711958
logistic_t0,13.223152229742592
logistic_rmse,408.1067628426242
logistic_aic,246.4611525522988
bootstrap_median,2050.2016273702047
bootstrap_ci_lower,2042.1020310118918
bootstrap_ci_upper,2069.558632703263
