seed,num_clients,alpha,security_mode,aggregator,attack,malicious_fraction,accuracy,auroc,precision,recall,f1,sensitivity,specificity,val_accuracy,mean_round_latency_s,std_round_latency_s,rounds_to_convergence
11,25,0.1,native_pq,fedavg,none,0.0,0.655448717948718,0.5679487179487179,0.6617375231053605,0.917948717948718,0.7690655209452202,0.917948717948718,0.2179487179487179,0.7022900763358778,19.57633922000063,0.4497548283513078,50
11,25,0.1,hybrid_pq,fedavg,none,0.0,0.655448717948718,0.5679487179487179,0.6617375231053605,0.917948717948718,0.7690655209452202,0.917948717948718,0.2179487179487179,0.7022900763358778,19.58980958000113,0.4312383763687059,50
11,25,0.1,classical,fedavg,none,0.0,0.655448717948718,0.5679487179487179,0.6617375231053605,0.917948717948718,0.7690655209452202,0.917948717948718,0.2179487179487179,0.7022900763358778,19.60546974600072,0.4472616699438023,50
11,25,0.5,classical,fedavg,none,0.0,0.655448717948718,0.5679487179487179,0.6617375231053605,0.917948717948718,0.7690655209452202,0.917948717948718,0.2179487179487179,0.7022900763358778,19.63793683399953,0.4595485070432245,50
11,25,1.0,hybrid_pq,fedavg,none,0.0,0.6538461538461539,0.5666666666666667,0.6611111111111111,0.9153846153846154,0.7677419354838709,0.9153846153846154,0.2179487179487179,0.7022900763358778,19.408904731998884,0.2088403732770747,50
11,25,1.0,classical,fedavg,none,0.0,0.6538461538461539,0.5666666666666667,0.6611111111111111,0.9153846153846154,0.7677419354838709,0.9153846153846154,0.2179487179487179,0.7022900763358778,19.433677591999704,0.2135409995317045,50
11,25,0.5,native_pq,fedavg,none,0.0,0.655448717948718,0.5679487179487179,0.6617375231053605,0.917948717948718,0.7690655209452202,0.917948717948718,0.2179487179487179,0.7022900763358778,19.47281778999863,0.2221939783251661,50
11,25,0.5,hybrid_pq,fedavg,none,0.0,0.655448717948718,0.5679487179487179,0.6617375231053605,0.917948717948718,0.7690655209452202,0.917948717948718,0.2179487179487179,0.7022900763358778,19.53351875999881,0.2154310595972032,50
11,5,1.0,classical,fedavg,none,0.0,0.7692307692307693,0.7051282051282052,0.7440476190476191,0.9615384615384616,0.8389261744966443,0.9615384615384616,0.4487179487179487,0.8816793893129771,17.030778970000412,0.6778178380834776,35
11,5,1.0,native_pq,fedavg,none,0.0,0.7692307692307693,0.7051282051282052,0.7440476190476191,0.9615384615384616,0.8389261744966443,0.9615384615384616,0.4487179487179487,0.8816793893129771,17.06672662800055,0.7430152030180983,35
11,5,1.0,hybrid_pq,fedavg,none,0.0,0.7692307692307693,0.7051282051282052,0.7440476190476191,0.9615384615384616,0.8389261744966443,0.9615384615384616,0.4487179487179487,0.8816793893129771,17.028357083999662,0.5467667309976427,35
11,10,1.0,classical,fedavg,none,0.0,0.782051282051282,0.7307692307692308,0.7668067226890757,0.935897435897436,0.8429561200923787,0.935897435897436,0.5256410256410257,0.9122137404580152,17.389870331999603,0.5538550099272422,30
11,10,1.0,hybrid_pq,fedavg,none,0.0,0.782051282051282,0.7307692307692308,0.7668067226890757,0.935897435897436,0.8429561200923787,0.935897435897436,0.5256410256410257,0.9122137404580152,17.471118395999817,0.5796715679782659,30
11,25,1.0,native_pq,fedavg,none,0.0,0.6538461538461539,0.5666666666666667,0.6611111111111111,0.9153846153846154,0.7677419354838709,0.9153846153846154,0.2179487179487179,0.7022900763358778,19.28490105200148,0.7537816174750916,50
11,10,1.0,native_pq,fedavg,none,0.0,0.782051282051282,0.7307692307692308,0.7668067226890757,0.935897435897436,0.8429561200923787,0.935897435897436,0.5256410256410257,0.9122137404580152,17.14472329800033,0.2093303554202976,30
11,50,1.0,classical,fedavg,none,0.0,0.453525641025641,0.5243589743589744,0.6762589928057554,0.241025641025641,0.3553875236294896,0.241025641025641,0.8076923076923077,0.3339694656488549,25.081226732000303,0.9585480833322948,50
11,50,1.0,hybrid_pq,fedavg,none,0.0,0.453525641025641,0.5243589743589744,0.6762589928057554,0.241025641025641,0.3553875236294896,0.241025641025641,0.8076923076923077,0.3339694656488549,25.1952130820002,0.9663480120426516,50
11,50,1.0,native_pq,fedavg,none,0.0,0.453525641025641,0.5243589743589744,0.6762589928057554,0.241025641025641,0.3553875236294896,0.241025641025641,0.8076923076923077,0.3339694656488549,25.39726290599931,0.8508248602883117,50
22,25,0.1,hybrid_pq,fedavg,none,0.0,0.6490384615384616,0.5636752136752137,0.6598130841121496,0.9051282051282052,0.7632432432432432,0.9051282051282052,0.2222222222222222,0.6965648854961832,19.18187091799828,0.5368913080031947,50
