seed,num_clients,alpha,security_mode,aggregator,attack,malicious_fraction,accuracy,auroc,precision,recall,f1,sensitivity,specificity,val_accuracy,mean_round_latency_s,std_round_latency_s,rounds_to_convergence
11,25,0.1,classical,fedavg,none,0.0,0.34935897435897434,0.45897435897435895,0.25,0.020512820512820513,0.037914691943127965,0.020512820512820513,0.8974358974358975,0.2767175572519084,13.403544070000066,0.1810053459214037,20
11,25,0.1,hybrid_pq,fedavg,none,0.0,0.34935897435897434,0.45897435897435895,0.25,0.020512820512820513,0.037914691943127965,0.020512820512820513,0.8974358974358975,0.2767175572519084,13.381363174999924,0.1585791114883174,20
11,25,0.1,native_pq,fedavg,none,0.0,0.34935897435897434,0.45897435897435895,0.25,0.020512820512820513,0.037914691943127965,0.020512820512820513,0.8974358974358975,0.2767175572519084,13.391829455000007,0.16373912810559266,20
11,25,0.5,classical,fedavg,none,0.0,0.3525641025641026,0.4632478632478632,0.26666666666666666,0.020512820512820513,0.0380952380952381,0.020512820512820513,0.905982905982906,0.2729007633587786,13.489948790000039,0.20690425424145495,20
11,25,0.5,hybrid_pq,fedavg,none,0.0,0.3525641025641026,0.4632478632478632,0.26666666666666666,0.020512820512820513,0.0380952380952381,0.020512820512820513,0.905982905982906,0.2729007633587786,13.474423300000073,0.1539784707371038,20
11,25,0.5,native_pq,fedavg,none,0.0,0.3525641025641026,0.4632478632478632,0.26666666666666666,0.020512820512820513,0.0380952380952381,0.020512820512820513,0.905982905982906,0.2729007633587786,13.513909025000013,0.18551967346818504,20
11,25,1.0,classical,fedavg,none,0.0,0.3525641025641026,0.4632478632478632,0.26666666666666666,0.020512820512820513,0.0380952380952381,0.020512820512820513,0.905982905982906,0.2729007633587786,13.366521414999966,0.15626054876900752,20
11,25,1.0,hybrid_pq,fedavg,none,0.0,0.3525641025641026,0.4632478632478632,0.26666666666666666,0.020512820512820513,0.0380952380952381,0.020512820512820513,0.905982905982906,0.2729007633587786,13.428873964999994,0.1741552044635517,20
11,25,1.0,native_pq,fedavg,none,0.0,0.3525641025641026,0.4632478632478632,0.26666666666666666,0.020512820512820513,0.0380952380952381,0.020512820512820513,0.905982905982906,0.2729007633587786,13.406173935000098,0.13891506725981914,20
11,5,1.0,classical,fedavg,none,0.0,0.6698717948717948,0.6256410256410256,0.7081447963800905,0.8025641025641026,0.7524038461538461,0.8025641025641026,0.44871794871794873,0.7041984732824428,11.474122450000108,0.13645583626744512,20
11,5,1.0,hybrid_pq,fedavg,none,0.0,0.6698717948717948,0.6256410256410256,0.7081447963800905,0.8025641025641026,0.7524038461538461,0.8025641025641026,0.44871794871794873,0.7041984732824428,11.498092774999979,0.18974490042362532,20
11,5,1.0,native_pq,fedavg,none,0.0,0.6698717948717948,0.6256410256410256,0.7081447963800905,0.8025641025641026,0.7524038461538461,0.8025641025641026,0.44871794871794873,0.7041984732824428,11.437128489999978,0.16317030901756915,20
11,10,1.0,classical,fedavg,none,0.0,0.6939102564102564,0.6004273504273504,0.6773618538324421,0.9743589743589743,0.7991587802313355,0.9743589743589743,0.2264957264957265,0.8225190839694656,11.850505119999966,0.15509530678074043,20
11,10,1.0,hybrid_pq,fedavg,none,0.0,0.6939102564102564,0.6004273504273504,0.6773618538324421,0.9743589743589743,0.7991587802313355,0.9743589743589743,0.2264957264957265,0.8225190839694656,11.776791639999896,0.1646899391684614,20
11,10,1.0,native_pq,fedavg,none,0.0,0.6939102564102564,0.6004273504273504,0.6773618538324421,0.9743589743589743,0.7991587802313355,0.9743589743589743,0.2264957264957265,0.8225190839694656,11.761237094999956,0.11599215729043162,20
11,25,1.0,classical,fedavg,none,0.0,0.3525641025641026,0.4632478632478632,0.26666666666666666,0.020512820512820513,0.0380952380952381,0.020512820512820513,0.905982905982906,0.2729007633587786,13.656822985000076,0.31316958074336915,20
11,25,1.0,hybrid_pq,fedavg,none,0.0,0.3525641025641026,0.4632478632478632,0.26666666666666666,0.020512820512820513,0.0380952380952381,0.020512820512820513,0.905982905982906,0.2729007633587786,13.455755669999817,0.18631992532269062,20
11,25,1.0,native_pq,fedavg,none,0.0,0.3525641025641026,0.4632478632478632,0.26666666666666666,0.020512820512820513,0.0380952380952381,0.020512820512820513,0.905982905982906,0.2729007633587786,13.547484175000083,0.29504027064815336,20
11,50,1.0,classical,fedavg,none,0.0,0.6153846153846154,0.49743589743589745,0.6237623762376238,0.9692307692307692,0.7590361445783133,0.9692307692307692,0.02564102564102564,0.7118320610687023,19.388529394999978,0.2117800419865599,20
11,50,1.0,hybrid_pq,fedavg,none,0.0,0.6153846153846154,0.49743589743589745,0.6237623762376238,0.9692307692307692,0.7590361445783133,0.9692307692307692,0.02564102564102564,0.7118320610687023,19.26596743499984,0.1981786084279744,20
11,50,1.0,native_pq,fedavg,none,0.0,0.6153846153846154,0.49743589743589745,0.6237623762376238,0.9692307692307692,0.7590361445783133,0.9692307692307692,0.02564102564102564,0.7118320610687023,19.295244025000176,0.2707389875793228,20
11,25,1.0,native_pq,median,none,0.0,0.375,,0.0,0.0,0.0,0.0,1.0,0.25763358778625955,13.272227699999931,0.1831436469616347,20
11,25,1.0,native_pq,krum,none,0.0,0.375,,0.0,0.0,0.0,0.0,1.0,0.25763358778625955,13.401032679999881,0.18705909152141464,20
11,25,1.0,native_pq,fedavg,label_flip,0.1,0.4567307692307692,0.40726495726495726,0.5605700712589073,0.6051282051282051,0.5819975339087546,0.6051282051282051,0.2094017094017094,0.45229007633587787,13.423146564999879,0.16252468945630338,20
11,25,1.0,native_pq,median,label_flip,0.1,0.375,,0.0,0.0,0.0,0.0,1.0,0.25763358778625955,13.331980490000424,0.17086087736734906,20
11,25,1.0,native_pq,krum,label_flip,0.1,0.375,,0.0,0.0,0.0,0.0,1.0,0.25763358778625955,13.339787135000133,0.17790963950254637,20
11,25,1.0,native_pq,fedavg,label_flip,0.2,0.6266025641025641,0.502991452991453,0.6264090177133655,0.9974358974358974,0.7695351137487636,0.9974358974358974,0.008547008547008548,0.7385496183206107,13.453366759999827,0.1408100624328753,20
11,25,1.0,native_pq,median,label_flip,0.2,0.375,,0.0,0.0,0.0,0.0,1.0,0.25763358778625955,13.290179890000072,0.23994016174898744,20
