security_mode,alpha,num_clients,accuracy_mean,accuracy_std,f1_mean,f1_std,latency_mean,latency_std
classical,0.1,25,0.6530448717948718,0.0025338763302631133,0.766820827498865,0.0024666066759321693,19.15963845859986,0.27114691923914686
classical,0.5,25,0.6541666666666667,0.0006757003547368347,0.7680066525761408,0.0005580726314331385,19.116991024000516,0.2717036959263372
classical,1.0,5,0.7668269230769231,0.04760721403049021,0.8341325613469553,0.020854198339542374,16.70085863059962,0.1836935059571754
classical,1.0,10,0.7778846153846153,0.03645182661639278,0.8433162848872765,0.017024199999298016,17.090482639599845,0.16645943696390808
classical,1.0,25,0.6533653846153846,0.0015203257981578706,0.7672920662598082,0.001422611397250986,19.062706434200607,0.27632870395553855
classical,1.0,50,0.4535256410256411,0.0,0.3553875236294896,0.0,24.698788093999177,0.36899438872476725
hybrid_pq,0.1,25,0.6530448717948718,0.0025338763302631133,0.766820827498865,0.0024666066759321693,19.181445788199426,0.23722252271677843
hybrid_pq,0.5,25,0.6541666666666667,0.0006757003547368347,0.7680066525761408,0.0005580726314331385,19.121001708600055,0.24742079526032856
hybrid_pq,1.0,5,0.7668269230769231,0.04760721403049021,0.8341325613469553,0.020854198339542374,16.727186874999425,0.1837091320157395
hybrid_pq,1.0,10,0.7778846153846153,0.03645182661639278,0.8433162848872765,0.017024199999298016,17.069137877599847,0.20083105215313934
hybrid_pq,1.0,25,0.6533653846153846,0.0015203257981578706,0.7672920662598082,0.001422611397250986,19.011800996400005,0.2872134944762078
hybrid_pq,1.0,50,0.4535256410256411,0.0,0.3553875236294896,0.0,24.824629504400356,0.2433971273212114
native_pq,0.1,25,0.6530448717948718,0.0025338763302631133,0.766820827498865,0.0024666066759321693,19.19306503859991,0.2606331202331838
native_pq,0.5,25,0.6541666666666667,0.0006757003547368347,0.7680066525761408,0.0005580726314331385,19.124616239200485,0.22283003870000248
native_pq,1.0,5,0.7668269230769231,0.04760721403049021,0.8341325613469553,0.020854198339542374,16.729316013800148,0.18416042955870696
native_pq,1.0,10,0.7778846153846153,0.03645182661639278,0.8433162848872765,0.017024199999298016,17.064764713399562,0.14927114795017304
native_pq,1.0,25,0.7221794871794871,0.17933557718585175,0.723824169019133,0.29267184890361697,14.597514875040071,2.330287079972531
native_pq,1.0,50,0.4535256410256411,0.0,0.3553875236294896,0.0,24.7822693184009,0.36746938215522457
